"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",3039.27016782029,1.10403008230819,0.102474967113715,10.7736563709562,4.5842622507696e-27,6.26155470379937e-26
"ENSG00000000005",6.68494265067891,1.5773823425604,0.467811533042142,3.37183295226351,0.000746697230824925,0.0013331916697341
"ENSG00000000460",371.436631433375,1.73849470202351,0.0994316245976127,17.4843236149362,1.88637936954802e-68,2.01601180896131e-66
"ENSG00000000938",1342.8314793684,-2.10833042471768,0.13700551929244,-15.3886532134331,1.95049888013628e-53,1.09781291985601e-51
"ENSG00000001084",4286.01562063706,2.22901969358804,0.215131858947499,10.3611789741101,3.72343886164643e-25,4.49730797453285e-24
"ENSG00000001626",1068.98545765771,-1.2424469112876,0.247406720088456,-5.02188020941141,5.11680939920471e-07,1.38629476924734e-06
"ENSG00000002079",35.170737037479,2.90067326358123,0.250550685875722,11.5771914710304,5.37792062869561e-31,9.35185239011286e-30
"ENSG00000002587",1103.71573558585,1.51837014722091,0.165326871251897,9.18404936670866,4.15178146339046e-20,3.51950709558282e-19
"ENSG00000002726",1816.24790236137,4.97070382513933,0.298892324641761,16.6304164253698,4.19667373039318e-62,3.38647993224019e-60
"ENSG00000002745",34.9748081987528,1.89295734516513,0.288882308340269,6.5526939189902,5.65082653640636e-11,2.32861521799192e-10
"ENSG00000002746",81.2561302458694,2.3834964693869,0.190062064490997,12.5406218004109,4.47470642121836e-36,1.04406908953561e-34
"ENSG00000003137",295.16092849144,-1.09659357485552,0.173244087597871,-6.32976045566935,2.45542093096702e-10,9.51151134952479e-10
"ENSG00000003147",1997.68192149475,1.15623437515571,0.0970323518175901,11.9159677519649,9.77248530951062e-33,1.87257297214096e-31
"ENSG00000003249",1421.13984606621,1.96768166703851,0.124402408630601,15.8170704948432,2.37279033183986e-56,1.52423127059101e-54
"ENSG00000003987",237.959086442311,1.42562861984065,0.246747426230109,5.77768385114241,7.57359452108662e-09,2.51187037644499e-08
"ENSG00000003989",5535.84179682565,1.02480492940694,0.259941183490714,3.94244927119659,8.06537131247607e-05,0.000165762029796076
"ENSG00000004478",4035.5877889744,1.12283392480376,0.118336139775223,9.48851235925522,2.34354778374475e-21,2.1846951548933e-20
"ENSG00000004776",125.444371144439,-2.52461400715434,0.202556973750921,-12.4637229733635,1.17742823903604e-35,2.69129666680745e-34
"ENSG00000004777",407.633833445689,1.28295564964014,0.158083375767878,8.11568985928013,4.83032872570078e-16,3.02392388792171e-15
"ENSG00000004799",3222.49300292478,-2.39990360867204,0.190487772437854,-12.5987278761161,2.14577391655558e-36,5.08933920538933e-35
"ENSG00000004838",445.79603374517,-1.97776202479905,0.249213684676246,-7.93600892089201,2.08791000807902e-15,1.24192082955291e-14
"ENSG00000004848",175.581076533754,1.62688342123983,0.313084296556662,5.19631115048722,2.03281905941805e-07,5.77047427704685e-07
"ENSG00000004864",1664.03344650044,1.05856900256362,0.0872054169219166,12.1387987114546,6.57847413646745e-34,1.34832435939732e-32
"ENSG00000004939",9.32456300917661,-3.41252238723095,0.225831115891052,-15.1109486120472,1.37151008067379e-51,7.06593335536802e-50
"ENSG00000004948",44.6006184270065,1.58888309974314,0.272239916577789,5.83633406781895,5.33618531386642e-09,1.80023561100742e-08
"ENSG00000005001",1289.47628118211,1.65308845528214,0.162932577441101,10.1458436443118,3.45777700601182e-24,3.94426030841418e-23
"ENSG00000005073",22.3039590404579,4.07015168502625,0.475493042326775,8.55985539790316,1.13009173596958e-17,8.00877524115489e-17
"ENSG00000005102",66.0790546467156,-1.18676233180382,0.213402583366714,-5.56114323023199,2.68013115678016e-08,8.39164095534697e-08
"ENSG00000005189",215.212564019864,1.02469316166906,0.103985991924009,9.85414614708764,6.57733535216206e-23,6.86585858025545e-22
"ENSG00000005421",87.2130250279358,1.69583572010582,0.244525668769442,6.93520532482333,4.05631579136524e-12,1.84400865618603e-11
"ENSG00000005471",102.97171599897,2.13147592218959,0.195699876171939,10.891554782165,1.26462609031143e-27,1.79562903428205e-26
"ENSG00000005844",1816.72491937249,-1.21218652452518,0.135586876210349,-8.94029391638611,3.88136648025153e-19,3.05716704990112e-18
"ENSG00000006016",5655.00999688575,4.04706915329669,0.334705884772474,12.0914191755183,1.17243782999484e-33,2.37456683797432e-32
"ENSG00000006047",250.917137838596,4.73663643552142,0.279154207838876,16.9678131388059,1.42127072182042e-64,1.27591025874624e-62
"ENSG00000006118",2418.73579255733,2.01229631667693,0.148904983176363,13.5139622177289,1.29367115156469e-41,4.02551450446588e-40
"ENSG00000006210",5063.2002136491,-1.09186902294567,0.19400322223353,-5.62809736031777,1.82208240996551e-08,5.81282491644024e-08
"ENSG00000006283",53.8669692842101,1.21631698104141,0.231057551909236,5.26412995806001,1.40854791342093e-07,4.07833793122335e-07
"ENSG00000006377",43.6407002496432,5.01652415246062,0.442462898479795,11.3377283602677,8.53307386680488e-30,1.3783812392402e-28
"ENSG00000006453",3187.28506582463,1.22787133499589,0.102859332763596,11.9373838231863,7.55626511133563e-33,1.45289921475723e-31
"ENSG00000006468",2217.63514339962,-1.15246732332002,0.157518748466225,-7.31638191987751,2.54745976925972e-13,1.28894931456034e-12
"ENSG00000006606",25.5595262471332,1.25347564498576,0.24057056469204,5.21042816102778,1.88405323642973e-07,5.37366701087808e-07
"ENSG00000006611",210.672153247599,3.55176490908856,0.365334079027286,9.72196439638277,2.43046654494401e-22,2.44606567159178e-21
"ENSG00000006625",1227.61611870492,1.69530232250058,0.108519231236687,15.6221372302484,5.14516597410317e-55,3.12090819196065e-53
"ENSG00000006634",638.834236414638,1.41339375441805,0.110102257207911,12.8371006213712,1.01609065522987e-37,2.56768468252282e-36
"ENSG00000006638",138.925490291543,-1.01754359957253,0.115558359826927,-8.80545207717137,1.30326210552372e-18,9.91290805915088e-18
"ENSG00000006740",1014.99830442642,-1.6600356838082,0.146627384768408,-11.3214573555285,1.02749419852418e-29,1.6545421154621e-28
"ENSG00000006747",2020.14414025736,1.52106726587859,0.218505829288022,6.96122053509888,3.37337204566475e-12,1.54449084263388e-11
"ENSG00000007062",1504.8474662485,1.45093761897138,0.304233926982703,4.76915126909521,1.85003704966471e-06,4.69225741039767e-06
"ENSG00000007129",156.938070546215,-1.62591501213642,0.154868990130951,-10.4986479911931,8.76261389258293e-26,1.09937106597352e-24
"ENSG00000007174",409.732020727334,-1.99948458055778,0.339984867495269,-5.88109875386028,4.07551902069512e-09,1.39087447742008e-08
"ENSG00000007237",1766.60712451535,-1.0975123858362,0.125339251872052,-8.75633426435761,2.01702960428495e-18,1.51367849655733e-17
"ENSG00000007264",252.607726569155,-1.12549148905892,0.150740967289998,-7.46639423438014,8.24221640966732e-14,4.33084209913292e-13
"ENSG00000007306",130.87723254984,3.54533977205865,0.301246770022982,11.7688889138568,5.64632565695578e-32,1.03816645169291e-30
"ENSG00000007314",91.390535296515,3.04834196148719,0.305496926387812,9.97830648422785,1.89676392178489e-23,2.05734113116663e-22
"ENSG00000007372",4.1815931482118,1.70052690508006,0.41079617044165,4.13958801819357,3.47930090308891e-05,7.52050900674289e-05
"ENSG00000007402",3319.89049564731,-2.38558618213721,0.2456939365506,-9.70958508634546,2.74452028012864e-22,2.75057155286462e-21
"ENSG00000007908",225.553546676544,-2.95752807642106,0.223455520892124,-13.2354218173417,5.47882712834402e-40,1.5589477286189e-38
"ENSG00000007933",599.478452693641,-1.14345051369029,0.161598537057507,-7.07587169111175,1.48512227425817e-12,7.04667755633412e-12
"ENSG00000007952",84.2297219670575,1.3188927439362,0.147347368872754,8.95090800756116,3.52570103769474e-19,2.78435008934639e-18
"ENSG00000007968",310.152256430306,2.336424517024,0.146787728055347,15.9170289504246,4.82762792762869e-57,3.19254680024344e-55
"ENSG00000008086",1080.83019116448,-1.05863703845768,0.110383069798962,-9.59057435515927,8.75960161975731e-22,8.43293658348165e-21
"ENSG00000008197",58.4662714134658,7.01720032958848,0.580319118138626,12.0919682124141,1.16462786320535e-33,2.36008024491201e-32
